mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,impugnaciones,observaciones,centro,departamento,municipio,tipo
6912,,"{'TODOS': 0, 'CAMBIO': 6, 'MORENA': 1, 'VAMOS': 11, 'PIN': 0, 'RENOVADOR': 52, 'VALOR': 46, 'AZUL': 3, 'UNE': 3, 'FCN-NACION': 0, 'PODEMOS': 0, 'UC': 1}",0,3,126,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,alcalde
6913,,"{'TODOS': 1, 'CAMBIO': 8, 'MORENA': 5, 'VAMOS': 117, 'PIN': 10, 'RENOVADOR': 57, 'VALOR': 52, 'AZUL': 2, 'UNE': 9, 'FCN-NACION': 1, 'PODEMOS': 4, 'UC': 2}",2,40,310,0,--,Algún campo sin dato,0755,El Progreso,San Agustín Acasaguastlán,alcalde
6914,,"{'TODOS': 0, 'CAMBIO': 11, 'MORENA': 3, 'VAMOS': 112, 'PIN': 1, 'RENOVADOR': 57, 'VALOR': 51, 'AZUL': 1, 'UNE': 4, 'FCN-NACION': 2, 'PODEMOS': 4, 'UC': 1}",3,23,273,1,--,Algún campo sin dato,0755,El Progreso,San Agustín Acasaguastlán,alcalde
6915,,"{'TODOS': 2, 'CAMBIO': 13, 'MORENA': 2, 'VAMOS': 108, 'PIN': 8, 'RENOVADOR': 55, 'VALOR': 51, 'AZUL': 0, 'UNE': 9, 'FCN-NACION': 2, 'PODEMOS': 1, 'UC': 2}",5,16,274,0,--,Algún campo sin dato,0755,El Progreso,San Agustín Acasaguastlán,alcalde
6916,,"{'TODOS': 0, 'CAMBIO': 9, 'MORENA': 2, 'VAMOS': 101, 'PIN': 3, 'RENOVADOR': 34, 'VALOR': 51, 'AZUL': 0, 'UNE': 5, 'FCN-NACION': 0, 'PODEMOS': 1, 'UC': 0}",0,12,218,0,--,Algún campo sin dato,0755,El Progreso,San Agustín Acasaguastlán,alcalde
6917,,"{'TODOS': 8, 'CAMBIO': 3, 'MORENA': 5, 'VAMOS': 43, 'PIN': 4, 'RENOVADOR': 31, 'VALOR': 73, 'AZUL': 3, 'UNE': 14, 'FCN-NACION': 4, 'PODEMOS': 3, 'UC': 2}",2,8,203,2,--,Algún campo sin dato,0756,El Progreso,San Agustín Acasaguastlán,alcalde
6918,,"{'TODOS': 4, 'CAMBIO': 4, 'MORENA': 2, 'VAMOS': 57, 'PIN': 2, 'RENOVADOR': 27, 'VALOR': 79, 'AZUL': 0, 'UNE': 9, 'FCN-NACION': 2, 'PODEMOS': 4, 'UC': 2}",0,3,195,0,--,Algún campo sin dato,0756,El Progreso,San Agustín Acasaguastlán,alcalde
6919,,"{'TODOS': 2, 'CAMBIO': 2, 'MORENA': 1, 'VAMOS': 24, 'PIN': 0, 'RENOVADOR': 51, 'VALOR': 98, 'AZUL': 3, 'UNE': 5, 'FCN-NACION': 0, 'PODEMOS': 0, 'UC': 0}",2,6,194,0,--,Algún campo sin dato,0757,El Progreso,San Agustín Acasaguastlán,alcalde
6920,,"{'TODOS': 0, 'CAMBIO': 1, 'MORENA': 3, 'VAMOS': 20, 'PIN': 0, 'RENOVADOR': 50, 'VALOR': 114, 'AZUL': 4, 'UNE': 4, 'FCN-NACION': 0, 'PODEMOS': 0, 'UC': 1}",2,11,210,0,--,Algún campo sin dato,0757,El Progreso,San Agustín Acasaguastlán,alcalde
6921,,"{'TODOS': 3, 'CAMBIO': 24, 'MORENA': 5, 'VAMOS': 158, 'PIN': 1, 'RENOVADOR': 28, 'VALOR': 53, 'AZUL': 1, 'UNE': 3, 'FCN-NACION': 0, 'PODEMOS': 2, 'UC': 0}",5,15,298,0,--,Algún campo sin dato,0758,El Progreso,San Agustín Acasaguastlán,alcalde
